waveCount,TotalWidth,tiltAve,deepest,class
2.0,1208.862305,-1.8050288536297079,0.4564928728856241,roll
2.0,1310.180666,1.5119145704174834,0.37695936077000197,roll
1.0,2113.952639,-0.01729787554327686,0.4291037996099463,roll
3.0,1308.258057,-1.477930474816275,0.3584621367636717,roll
2.0,3020.965576,Infinity,0.8989592953233946,roll
0.5,2114.440917,-0.4783479832556346,0.389151372931076,roll
2.0,1409.820556,-0.4331897787535619,0.4041587607993571,roll
3.0,1309.295654,-2.014670075929024,0.49649953330767876,roll
1.0,3336.212159,-0.15492080825783644,0.9973773115914593,hide
1.0,2517.730714,0.02926529461477584,0.9998155942509511,hide
1.0,2720.550537,-0.1235383975408888,0.9933371313766787,hide
1.0,2720.581053,-0.5223458179678468,0.9958490588227893,hide
1.0,2719.238283,0.12483735287973152,0.9943256921445768,hide
1.0,2316.864014,-0.473154927811626,0.9973384200171153,hide
1.0,2316.101075,0.03288755773024027,0.993520103805423,hide
1.0,2417.144776,-0.1961352410107372,0.9973545143839185,hide
1.0,2416.778564,-0.06302129824493996,0.9955645809695703,hide
0.5,5338.684081,0.11974792777978274,0.9958677708452368,hide
2.0,1462.188721,7.274413740441228,0.8979166540834642,slash
1.0,402.801513,1.0810919714493004,0.37485837269439226,slash
1.0,402.801514,1.3538270907964085,0.46498967983683664,slash
1.0,1208.251953,0.6802804832186473,0.3844697292076536,slash
1.0,300.872803,-0.7980759730892372,0.3538578702961752,slash
1.0,1106.506347,0.2715330379396613,0.2916039164717616,slash
1.0,402.86255,-0.9443413967781678,0.3258406168539572,slash
1.0,303.527831,0.9092274925994318,0.42183053851450775,slash
1.0,301.025391,0.9017862264845471,0.393565249764639,slash
1.0,504.486083,-0.16245984804113267,0.21907458032360239,slash
1.0,1007.049562,0.35497229345024894,0.9638189010188764,up
1.0,905.853273,-0.21096661874341716,0.959318808866249,up
1.0,907.65381,0.6848153210477751,0.943345994925488,up
1.0,704.101564,0.3514016527934192,0.9478194630448669,up
1.0,805.908203,3.4689237810417093,0.9064994336439918,up
1.0,1813.079833,1.1287804183929582,0.9450590502704007,up
1.0,805.664062,0.5611766452533742,0.9352043487550266,up
1.0,706.542967,3.3719482665168035,0.929734837149567,up
1.0,706.329345,-1.264475535750213,0.9552097090554492,up
1.0,907.958984,0.21507726626903056,0.9646034295868161,up
1.0,1812.377929,1.1077917515403513,0.9109513148321949,down
1.0,805.664063,-0.5536281969084751,0.9511085774735123,down
1.0,805.603028,-0.48770674090761656,0.8357196661612373,down
1.0,905.303956,-0.7144154530382896,0.9567262412446194,down
1.0,907.714844,-1.514298714859366,0.9551451319788938,down
1.0,907.623293,-0.2149922269898178,0.9539423641615122,down
0.5,1713.256836,-0.4321580160810602,0.8391238496006319,down
1.0,905.395507,-0.7158480176842434,0.9589840073141993,down
1.0,1006.744385,-0.34933240315183955,0.9549618235613024,down
1.0,907.318116,-0.6992799794174117,0.9606463853833329,down
2.0,1611.602782,0.24099284026858242,0.3281516741228689,roll
2.0,1208.679199,-0.8544537167841217,0.4851823722592838,roll
2.0,1208.862305,-1.8050288536297079,0.4564928728856241,roll
2.0,1310.180666,1.5119145704174834,0.37695936077000197,roll
1.0,2113.952639,-0.01729787554327686,0.4291037996099463,roll
3.0,1308.258057,-1.477930474816275,0.3584621367636717,roll
2.0,3020.965576,Infinity,0.8989592953233946,roll
0.5,2114.440917,-0.4783479832556346,0.389151372931076,roll
2.0,1409.820556,-0.4331897787535619,0.4041587607993571,roll
3.0,1309.295654,-2.014670075929024,0.49649953330767876,roll
1.0,3336.212159,-0.15492080825783644,0.9973773115914593,hide
1.0,2517.730714,0.02926529461477584,0.9998155942509511,hide
1.0,2720.550537,-0.1235383975408888,0.9933371313766787,hide
1.0,2720.581053,-0.5223458179678468,0.9958490588227893,hide
1.0,2719.238283,0.12483735287973152,0.9943256921445768,hide
1.0,2316.864014,-0.473154927811626,0.9973384200171153,hide
1.0,2316.101075,0.03288755773024027,0.993520103805423,hide
1.0,2417.144776,-0.1961352410107372,0.9973545143839185,hide
1.0,2416.778564,-0.06302129824493996,0.9955645809695703,hide
0.5,5338.684081,0.11974792777978274,0.9958677708452368,hide
2.0,1462.188721,7.274413740441228,0.8979166540834642,slash
1.0,402.801513,1.0810919714493004,0.37485837269439226,slash
1.0,402.801514,1.3538270907964085,0.46498967983683664,slash
1.0,1208.251953,0.6802804832186473,0.3844697292076536,slash
1.0,300.872803,-0.7980759730892372,0.3538578702961752,slash
1.0,1106.506347,0.2715330379396613,0.2916039164717616,slash
1.0,402.86255,-0.9443413967781678,0.3258406168539572,slash
1.0,303.527831,0.9092274925994318,0.42183053851450775,slash
1.0,301.025391,0.9017862264845471,0.393565249764639,slash
1.0,504.486083,-0.16245984804113267,0.21907458032360239,slash
1.0,1007.049562,0.35497229345024894,0.9638189010188764,up
1.0,905.853273,-0.21096661874341716,0.959318808866249,up
1.0,907.65381,0.6848153210477751,0.943345994925488,up
1.0,704.101564,0.3514016527934192,0.9478194630448669,up
1.0,805.908203,3.4689237810417093,0.9064994336439918,up
1.0,1813.079833,1.1287804183929582,0.9450590502704007,up
1.0,805.664062,0.5611766452533742,0.9352043487550266,up
1.0,706.542967,3.3719482665168035,0.929734837149567,up
1.0,706.329345,-1.264475535750213,0.9552097090554492,up
1.0,907.958984,0.21507726626903056,0.9646034295868161,up
1.0,1812.377929,1.1077917515403513,0.9109513148321949,down
1.0,805.664063,-0.5536281969084751,0.9511085774735123,down
1.0,805.603028,-0.48770674090761656,0.8357196661612373,down
1.0,905.303956,-0.7144154530382896,0.9567262412446194,down
1.0,907.714844,-1.514298714859366,0.9551451319788938,down
1.0,907.623293,-0.2149922269898178,0.9539423641615122,down
0.5,1713.256836,-0.4321580160810602,0.8391238496006319,down
1.0,905.395507,-0.7158480176842434,0.9589840073141993,down
1.0,1006.744385,-0.34933240315183955,0.9549618235613024,down
1.0,907.318116,-0.6992799794174117,0.9606463853833329,down
2.0,1611.602782,0.24099284026858242,0.3281516741228689,roll
2.0,1208.679199,-0.8544537167841217,0.4851823722592838,roll
2.0,1208.862305,-1.8050288536297079,0.4564928728856241,roll
2.0,1310.180666,1.5119145704174834,0.37695936077000197,roll
1.0,2113.952639,-0.01729787554327686,0.4291037996099463,roll
3.0,1308.258057,-1.477930474816275,0.3584621367636717,roll
2.0,3020.965576,Infinity,0.8989592953233946,roll
0.5,2114.440917,-0.4783479832556346,0.389151372931076,roll
2.0,1409.820556,-0.4331897787535619,0.4041587607993571,roll
3.0,1309.295654,-2.014670075929024,0.49649953330767876,roll
1.0,3336.212159,-0.15492080825783644,0.9973773115914593,hide
1.0,2517.730714,0.02926529461477584,0.9998155942509511,hide
1.0,2720.550537,-0.1235383975408888,0.9933371313766787,hide
1.0,2720.581053,-0.5223458179678468,0.9958490588227893,hide
1.0,2719.238283,0.12483735287973152,0.9943256921445768,hide
1.0,2316.864014,-0.473154927811626,0.9973384200171153,hide
1.0,2316.101075,0.03288755773024027,0.993520103805423,hide
1.0,2417.144776,-0.1961352410107372,0.9973545143839185,hide
1.0,2416.778564,-0.06302129824493996,0.9955645809695703,hide
0.5,5338.684081,0.11974792777978274,0.9958677708452368,hide
2.0,1462.188721,7.274413740441228,0.8979166540834642,slash
1.0,402.801513,1.0810919714493004,0.37485837269439226,slash
1.0,402.801514,1.3538270907964085,0.46498967983683664,slash
1.0,1208.251953,0.6802804832186473,0.3844697292076536,slash
1.0,300.872803,-0.7980759730892372,0.3538578702961752,slash
1.0,1106.506347,0.2715330379396613,0.2916039164717616,slash
1.0,402.86255,-0.9443413967781678,0.3258406168539572,slash
1.0,303.527831,0.9092274925994318,0.42183053851450775,slash
1.0,301.025391,0.9017862264845471,0.393565249764639,slash
1.0,504.486083,-0.16245984804113267,0.21907458032360239,slash
1.0,1007.049562,0.35497229345024894,0.9638189010188764,up
1.0,905.853273,-0.21096661874341716,0.959318808866249,up
1.0,907.65381,0.6848153210477751,0.943345994925488,up
1.0,704.101564,0.3514016527934192,0.9478194630448669,up
1.0,805.908203,3.4689237810417093,0.9064994336439918,up
1.0,1813.079833,1.1287804183929582,0.9450590502704007,up
1.0,805.664062,0.5611766452533742,0.9352043487550266,up
1.0,706.542967,3.3719482665168035,0.929734837149567,up
1.0,706.329345,-1.264475535750213,0.9552097090554492,up
1.0,907.958984,0.21507726626903056,0.9646034295868161,up
1.0,1812.377929,1.1077917515403513,0.9109513148321949,down
1.0,805.664063,-0.5536281969084751,0.9511085774735123,down
1.0,805.603028,-0.48770674090761656,0.8357196661612373,down
1.0,905.303956,-0.7144154530382896,0.9567262412446194,down
1.0,907.714844,-1.514298714859366,0.9551451319788938,down
1.0,907.623293,-0.2149922269898178,0.9539423641615122,down
0.5,1713.256836,-0.4321580160810602,0.8391238496006319,down
1.0,905.395507,-0.7158480176842434,0.9589840073141993,down
1.0,1006.744385,-0.34933240315183955,0.9549618235613024,down
1.0,907.318116,-0.6992799794174117,0.9606463853833329,down
2.0,1611.602782,0.24099284026858242,0.3281516741228689,roll
2.0,1208.679199,-0.8544537167841217,0.4851823722592838,roll
2.0,1208.862305,-1.8050288536297079,0.4564928728856241,roll
2.0,1310.180666,1.5119145704174834,0.37695936077000197,roll
1.0,2113.952639,-0.01729787554327686,0.4291037996099463,roll
3.0,1308.258057,-1.477930474816275,0.3584621367636717,roll
2.0,3020.965576,Infinity,0.8989592953233946,roll
0.5,2114.440917,-0.4783479832556346,0.389151372931076,roll
2.0,1409.820556,-0.4331897787535619,0.4041587607993571,roll
3.0,1309.295654,-2.014670075929024,0.49649953330767876,roll
1.0,3336.212159,-0.15492080825783644,0.9973773115914593,hide
1.0,2517.730714,0.02926529461477584,0.9998155942509511,hide
1.0,2720.550537,-0.1235383975408888,0.9933371313766787,hide
1.0,2720.581053,-0.5223458179678468,0.9958490588227893,hide
1.0,2719.238283,0.12483735287973152,0.9943256921445768,hide
1.0,2316.864014,-0.473154927811626,0.9973384200171153,hide
1.0,2316.101075,0.03288755773024027,0.993520103805423,hide
1.0,2417.144776,-0.1961352410107372,0.9973545143839185,hide
1.0,2416.778564,-0.06302129824493996,0.9955645809695703,hide
0.5,5338.684081,0.11974792777978274,0.9958677708452368,hide
2.0,1462.188721,7.274413740441228,0.8979166540834642,slash
1.0,402.801513,1.0810919714493004,0.37485837269439226,slash
1.0,402.801514,1.3538270907964085,0.46498967983683664,slash
1.0,1208.251953,0.6802804832186473,0.3844697292076536,slash
1.0,300.872803,-0.7980759730892372,0.3538578702961752,slash
1.0,1106.506347,0.2715330379396613,0.2916039164717616,slash
1.0,402.86255,-0.9443413967781678,0.3258406168539572,slash
1.0,303.527831,0.9092274925994318,0.42183053851450775,slash
1.0,301.025391,0.9017862264845471,0.393565249764639,slash
1.0,504.486083,-0.16245984804113267,0.21907458032360239,slash
1.0,1007.049562,0.35497229345024894,0.9638189010188764,up
1.0,905.853273,-0.21096661874341716,0.959318808866249,up
1.0,907.65381,0.6848153210477751,0.943345994925488,up
1.0,704.101564,0.3514016527934192,0.9478194630448669,up
1.0,805.908203,3.4689237810417093,0.9064994336439918,up
1.0,1813.079833,1.1287804183929582,0.9450590502704007,up
1.0,805.664062,0.5611766452533742,0.9352043487550266,up
1.0,706.542967,3.3719482665168035,0.929734837149567,up
1.0,706.329345,-1.264475535750213,0.9552097090554492,up
1.0,907.958984,0.21507726626903056,0.9646034295868161,up
1.0,1812.377929,1.1077917515403513,0.9109513148321949,down
1.0,805.664063,-0.5536281969084751,0.9511085774735123,down
1.0,805.603028,-0.48770674090761656,0.8357196661612373,down
1.0,905.303956,-0.7144154530382896,0.9567262412446194,down
1.0,907.714844,-1.514298714859366,0.9551451319788938,down
1.0,907.623293,-0.2149922269898178,0.9539423641615122,down
0.5,1713.256836,-0.4321580160810602,0.8391238496006319,down
1.0,905.395507,-0.7158480176842434,0.9589840073141993,down
1.0,1006.744385,-0.34933240315183955,0.9549618235613024,down
1.0,907.318116,-0.6992799794174117,0.9606463853833329,down
2.0,1611.602782,0.24099284026858242,0.3281516741228689,roll
2.0,1208.679199,-0.8544537167841217,0.4851823722592838,roll
2.0,1208.862305,-1.8050288536297079,0.4564928728856241,roll
2.0,1310.180666,1.5119145704174834,0.37695936077000197,roll
1.0,2113.952639,-0.01729787554327686,0.4291037996099463,roll
3.0,1308.258057,-1.477930474816275,0.3584621367636717,roll
2.0,3020.965576,Infinity,0.8989592953233946,roll
0.5,2114.440917,-0.4783479832556346,0.389151372931076,roll
2.0,1409.820556,-0.4331897787535619,0.4041587607993571,roll
3.0,1309.295654,-2.014670075929024,0.49649953330767876,roll
1.0,3336.212159,-0.15492080825783644,0.9973773115914593,hide
1.0,2517.730714,0.02926529461477584,0.9998155942509511,hide
1.0,2720.550537,-0.1235383975408888,0.9933371313766787,hide
1.0,2720.581053,-0.5223458179678468,0.9958490588227893,hide
1.0,2719.238283,0.12483735287973152,0.9943256921445768,hide
1.0,2316.864014,-0.473154927811626,0.9973384200171153,hide
1.0,2316.101075,0.03288755773024027,0.993520103805423,hide
1.0,2417.144776,-0.1961352410107372,0.9973545143839185,hide
1.0,2416.778564,-0.06302129824493996,0.9955645809695703,hide
0.5,5338.684081,0.11974792777978274,0.9958677708452368,hide
2.0,1462.188721,7.274413740441228,0.8979166540834642,slash
1.0,402.801513,1.0810919714493004,0.37485837269439226,slash
1.0,402.801514,1.3538270907964085,0.46498967983683664,slash
1.0,1208.251953,0.6802804832186473,0.3844697292076536,slash
1.0,300.872803,-0.7980759730892372,0.3538578702961752,slash
1.0,1106.506347,0.2715330379396613,0.2916039164717616,slash
1.0,402.86255,-0.9443413967781678,0.3258406168539572,slash
1.0,303.527831,0.9092274925994318,0.42183053851450775,slash
1.0,301.025391,0.9017862264845471,0.393565249764639,slash
1.0,504.486083,-0.16245984804113267,0.21907458032360239,slash
1.0,1007.049562,0.35497229345024894,0.9638189010188764,up
1.0,905.853273,-0.21096661874341716,0.959318808866249,up
1.0,907.65381,0.6848153210477751,0.943345994925488,up
1.0,704.101564,0.3514016527934192,0.9478194630448669,up
1.0,805.908203,3.4689237810417093,0.9064994336439918,up
1.0,1813.079833,1.1287804183929582,0.9450590502704007,up
1.0,805.664062,0.5611766452533742,0.9352043487550266,up
1.0,706.542967,3.3719482665168035,0.929734837149567,up
1.0,706.329345,-1.264475535750213,0.9552097090554492,up
1.0,907.958984,0.21507726626903056,0.9646034295868161,up
1.0,1812.377929,1.1077917515403513,0.9109513148321949,down
1.0,805.664063,-0.5536281969084751,0.9511085774735123,down
1.0,805.603028,-0.48770674090761656,0.8357196661612373,down
1.0,905.303956,-0.7144154530382896,0.9567262412446194,down
1.0,907.714844,-1.514298714859366,0.9551451319788938,down
1.0,907.623293,-0.2149922269898178,0.9539423641615122,down
0.5,1713.256836,-0.4321580160810602,0.8391238496006319,down
1.0,905.395507,-0.7158480176842434,0.9589840073141993,down
1.0,1006.744385,-0.34933240315183955,0.9549618235613024,down
1.0,907.318116,-0.6992799794174117,0.9606463853833329,down
2.0,1611.602782,0.24099284026858242,0.3281516741228689,roll
2.0,1208.679199,-0.8544537167841217,0.4851823722592838,roll
2.0,1208.862305,-1.8050288536297079,0.4564928728856241,roll
2.0,1310.180666,1.5119145704174834,0.37695936077000197,roll
1.0,2113.952639,-0.01729787554327686,0.4291037996099463,roll
3.0,1308.258057,-1.477930474816275,0.3584621367636717,roll
2.0,3020.965576,Infinity,0.8989592953233946,roll
0.5,2114.440917,-0.4783479832556346,0.389151372931076,roll
2.0,1409.820556,-0.4331897787535619,0.4041587607993571,roll
3.0,1309.295654,-2.014670075929024,0.49649953330767876,roll
1.0,3336.212159,-0.15492080825783644,0.9973773115914593,hide
1.0,2517.730714,0.02926529461477584,0.9998155942509511,hide
1.0,2720.550537,-0.1235383975408888,0.9933371313766787,hide
1.0,2720.581053,-0.5223458179678468,0.9958490588227893,hide
1.0,2719.238283,0.12483735287973152,0.9943256921445768,hide
1.0,2316.864014,-0.473154927811626,0.9973384200171153,hide
1.0,2316.101075,0.03288755773024027,0.993520103805423,hide
1.0,2417.144776,-0.1961352410107372,0.9973545143839185,hide
1.0,2416.778564,-0.06302129824493996,0.9955645809695703,hide
0.5,5338.684081,0.11974792777978274,0.9958677708452368,hide
2.0,1462.188721,7.274413740441228,0.8979166540834642,slash
1.0,402.801513,1.0810919714493004,0.37485837269439226,slash
1.0,402.801514,1.3538270907964085,0.46498967983683664,slash
1.0,1208.251953,0.6802804832186473,0.3844697292076536,slash
1.0,300.872803,-0.7980759730892372,0.3538578702961752,slash
1.0,1106.506347,0.2715330379396613,0.2916039164717616,slash
1.0,402.86255,-0.9443413967781678,0.3258406168539572,slash
1.0,303.527831,0.9092274925994318,0.42183053851450775,slash
1.0,301.025391,0.9017862264845471,0.393565249764639,slash
1.0,504.486083,-0.16245984804113267,0.21907458032360239,slash
1.0,1007.049562,0.35497229345024894,0.9638189010188764,up
1.0,905.853273,-0.21096661874341716,0.959318808866249,up
1.0,907.65381,0.6848153210477751,0.943345994925488,up
1.0,704.101564,0.3514016527934192,0.9478194630448669,up
1.0,805.908203,3.4689237810417093,0.9064994336439918,up
1.0,1813.079833,1.1287804183929582,0.9450590502704007,up
1.0,805.664062,0.5611766452533742,0.9352043487550266,up
1.0,706.542967,3.3719482665168035,0.929734837149567,up
1.0,706.329345,-1.264475535750213,0.9552097090554492,up
1.0,907.958984,0.21507726626903056,0.9646034295868161,up
1.0,1812.377929,1.1077917515403513,0.9109513148321949,down
1.0,805.664063,-0.5536281969084751,0.9511085774735123,down
1.0,805.603028,-0.48770674090761656,0.8357196661612373,down
1.0,905.303956,-0.7144154530382896,0.9567262412446194,down
1.0,907.714844,-1.514298714859366,0.9551451319788938,down
1.0,907.623293,-0.2149922269898178,0.9539423641615122,down
0.5,1713.256836,-0.4321580160810602,0.8391238496006319,down
1.0,905.395507,-0.7158480176842434,0.9589840073141993,down
1.0,1006.744385,-0.34933240315183955,0.9549618235613024,down
1.0,907.318116,-0.6992799794174117,0.9606463853833329,down
2.0,1611.602782,0.24099284026858242,0.3281516741228689,roll
2.0,1208.679199,-0.8544537167841217,0.4851823722592838,roll
2.0,1208.862305,-1.8050288536297079,0.4564928728856241,roll
2.0,1310.180666,1.5119145704174834,0.37695936077000197,roll
1.0,2113.952639,-0.01729787554327686,0.4291037996099463,roll
3.0,1308.258057,-1.477930474816275,0.3584621367636717,roll
2.0,3020.965576,Infinity,0.8989592953233946,roll
0.5,2114.440917,-0.4783479832556346,0.389151372931076,roll
2.0,1409.820556,-0.4331897787535619,0.4041587607993571,roll
3.0,1309.295654,-2.014670075929024,0.49649953330767876,roll
1.0,3336.212159,-0.15492080825783644,0.9973773115914593,hide
1.0,2517.730714,0.02926529461477584,0.9998155942509511,hide
1.0,2720.550537,-0.1235383975408888,0.9933371313766787,hide
1.0,2720.581053,-0.5223458179678468,0.9958490588227893,hide
1.0,2719.238283,0.12483735287973152,0.9943256921445768,hide
1.0,2316.864014,-0.473154927811626,0.9973384200171153,hide
1.0,2316.101075,0.03288755773024027,0.993520103805423,hide
1.0,2417.144776,-0.1961352410107372,0.9973545143839185,hide
1.0,2416.778564,-0.06302129824493996,0.9955645809695703,hide
0.5,5338.684081,0.11974792777978274,0.9958677708452368,hide
2.0,1462.188721,7.274413740441228,0.8979166540834642,slash
1.0,402.801513,1.0810919714493004,0.37485837269439226,slash
1.0,402.801514,1.3538270907964085,0.46498967983683664,slash
1.0,1208.251953,0.6802804832186473,0.3844697292076536,slash
1.0,300.872803,-0.7980759730892372,0.3538578702961752,slash
1.0,1106.506347,0.2715330379396613,0.2916039164717616,slash
1.0,402.86255,-0.9443413967781678,0.3258406168539572,slash
1.0,303.527831,0.9092274925994318,0.42183053851450775,slash
1.0,301.025391,0.9017862264845471,0.393565249764639,slash
1.0,504.486083,-0.16245984804113267,0.21907458032360239,slash
1.0,1007.049562,0.35497229345024894,0.9638189010188764,up
1.0,905.853273,-0.21096661874341716,0.959318808866249,up
1.0,907.65381,0.6848153210477751,0.943345994925488,up
1.0,704.101564,0.3514016527934192,0.9478194630448669,up
1.0,805.908203,3.4689237810417093,0.9064994336439918,up
1.0,1813.079833,1.1287804183929582,0.9450590502704007,up
1.0,805.664062,0.5611766452533742,0.9352043487550266,up
1.0,706.542967,3.3719482665168035,0.929734837149567,up
1.0,706.329345,-1.264475535750213,0.9552097090554492,up
1.0,907.958984,0.21507726626903056,0.9646034295868161,up
1.0,1812.377929,1.1077917515403513,0.9109513148321949,down
1.0,805.664063,-0.5536281969084751,0.9511085774735123,down
1.0,805.603028,-0.48770674090761656,0.8357196661612373,down
1.0,905.303956,-0.7144154530382896,0.9567262412446194,down
1.0,907.714844,-1.514298714859366,0.9551451319788938,down
1.0,907.623293,-0.2149922269898178,0.9539423641615122,down
0.5,1713.256836,-0.4321580160810602,0.8391238496006319,down
1.0,905.395507,-0.7158480176842434,0.9589840073141993,down
1.0,1006.744385,-0.34933240315183955,0.9549618235613024,down
1.0,907.318116,-0.6992799794174117,0.9606463853833329,down
2.0,1611.602782,0.24099284026858242,0.3281516741228689,roll
2.0,1208.679199,-0.8544537167841217,0.4851823722592838,roll
2.0,1208.862305,-1.8050288536297079,0.4564928728856241,roll
2.0,1310.180666,1.5119145704174834,0.37695936077000197,roll
1.0,2113.952639,-0.01729787554327686,0.4291037996099463,roll
3.0,1308.258057,-1.477930474816275,0.3584621367636717,roll
2.0,3020.965576,Infinity,0.8989592953233946,roll
0.5,2114.440917,-0.4783479832556346,0.389151372931076,roll
2.0,1409.820556,-0.4331897787535619,0.4041587607993571,roll
3.0,1309.295654,-2.014670075929024,0.49649953330767876,roll
1.0,3336.212159,-0.15492080825783644,0.9973773115914593,hide
1.0,2517.730714,0.02926529461477584,0.9998155942509511,hide
1.0,2720.550537,-0.1235383975408888,0.9933371313766787,hide
1.0,2720.581053,-0.5223458179678468,0.9958490588227893,hide
1.0,2719.238283,0.12483735287973152,0.9943256921445768,hide
1.0,2316.864014,-0.473154927811626,0.9973384200171153,hide
1.0,2316.101075,0.03288755773024027,0.993520103805423,hide
1.0,2417.144776,-0.1961352410107372,0.9973545143839185,hide
1.0,2416.778564,-0.06302129824493996,0.9955645809695703,hide
0.5,5338.684081,0.11974792777978274,0.9958677708452368,hide
2.0,1462.188721,7.274413740441228,0.8979166540834642,slash
1.0,402.801513,1.0810919714493004,0.37485837269439226,slash
1.0,402.801514,1.3538270907964085,0.46498967983683664,slash
1.0,1208.251953,0.6802804832186473,0.3844697292076536,slash
1.0,300.872803,-0.7980759730892372,0.3538578702961752,slash
1.0,1106.506347,0.2715330379396613,0.2916039164717616,slash
1.0,402.86255,-0.9443413967781678,0.3258406168539572,slash
1.0,303.527831,0.9092274925994318,0.42183053851450775,slash
1.0,301.025391,0.9017862264845471,0.393565249764639,slash
