,nexus7-2012-hmurakami
434266,910.0
8419,912.0
8519,910.0
8619,908.0
8619,910.0
8724,912.0
8724,914.0
8829,908.0
8922,906.0
9020,908.0
9120,912.0
9220,916.0
9320,914.0
9421,916.0
9521,918.0
9521,916.0
9621,912.0
9721,910.0
9721,906.0
9821,910.0
9821,914.0
9921,912.0
9921,914.0
10022,910.0
10127,912.0
10127,910.0
10227,912.0
10227,908.0
10328,912.0
10328,914.0
10427,910.0
10524,908.0
10625,910.0
10725,916.0
10825,908.0
10825,906.0
10925,912.0
11025,916.0
11025,914.0
11126,916.0
11126,912.0
11228,914.0
11326,910.0
11426,906.0
11426,910.0
11527,914.0
11727,912.0
11727,914.0
11844,912.0
11927,914.0
11927,912.0
12028,914.0
12028,912.0
12128,908.0
12128,912.0
12328,910.0
12328,906.0
12429,908.0
12529,912.0
12629,910.0
12730,904.0
12730,906.0
12830,904.0
12830,910.0
12931,908.0
13131,910.0
13231,908.0
13432,910.0
13532,908.0
13632,906.0
13732,902.0
13732,900.0
13833,896.0
13933,894.0
13933,884.0
14033,854.0
14033,806.0
14133,722.0
14133,606.0
14234,362.0
14234,264.0
14341,206.0
14341,164.0
14444,146.0
14444,138.0
14542,134.0
14634,154.0
14634,206.0
14735,306.0
14735,442.0
14835,604.0
14835,742.0
14935,830.0
14935,882.0
15035,876.0
15035,872.0
15236,874.0
15336,878.0
15436,882.0
15436,892.0
15536,898.0
15536,902.0
15636,904.0
15636,906.0
15743,908.0
15743,912.0
15841,910.0
15841,908.0
15941,912.0
15941,914.0
16043,910.0
16137,908.0
16237,904.0
16338,906.0
16338,908.0
16438,910.0
16438,912.0
16538,914.0
16638,916.0
16638,914.0
16738,916.0
16839,910.0
16839,914.0
16940,912.0
16940,914.0
17140,910.0
17240,908.0
17240,912.0
17342,914.0
17342,918.0
17442,914.0
17442,912.0
17642,910.0
17642,912.0
17742,908.0
17742,914.0
17842,916.0
17842,918.0
17942,914.0
17942,912.0
18042,910.0
18042,908.0
18142,910.0
18142,906.0
18243,908.0
18343,910.0
18343,914.0
18443,916.0
18544,910.0
18544,908.0
18644,910.0
18644,914.0
18744,918.0
18744,914.0
18844,912.0
18945,910.0
19045,908.0
19145,910.0
19145,904.0
19246,910.0
19246,906.0
19346,912.0
19446,918.0
19446,916.0
19546,914.0
19647,906.0
19647,908.0
19747,910.0
19747,912.0
19847,906.0
19948,908.0
20048,912.0
20048,916.0
20148,914.0
20148,916.0
20259,914.0
20259,912.0
20359,910.0
20459,912.0
20549,908.0
20549,902.0
20749,904.0
20749,908.0
20850,912.0
20850,914.0
20950,910.0
21050,908.0
21151,910.0
21151,908.0
21251,906.0
21351,908.0
21351,912.0
21452,914.0
21561,908.0
21661,910.0
21661,908.0
21760,910.0
21861,904.0
21954,906.0
21954,910.0
22054,906.0
22154,908.0
22154,910.0
22255,912.0
22255,908.0
22355,910.0
22455,906.0
22455,912.0
22555,916.0
22655,914.0
22655,912.0
22756,910.0
22856,906.0
22960,908.0
23057,912.0
23162,908.0
23162,910.0
23357,916.0
23357,914.0
23457,918.0
23457,916.0
23558,910.0
23658,912.0
23758,910.0
23858,906.0
23858,898.0
23959,894.0
23959,804.0
24059,688.0
24059,520.0
24161,346.0
24161,222.0
24260,140.0
24260,118.0
24361,116.0
24361,128.0
24461,178.0
24461,280.0
24561,440.0
24561,618.0
24676,760.0
24761,876.0
24861,874.0
24962,868.0
24962,870.0
25062,872.0
25062,876.0
25162,878.0
25162,880.0
25262,878.0
25262,882.0
25363,886.0
25463,892.0
25463,894.0
25563,898.0
25663,900.0
25763,904.0
25864,906.0
25864,910.0
25964,912.0
26077,914.0
26177,912.0
26264,916.0
26465,910.0
26565,908.0
26665,914.0
26766,910.0
26766,908.0
26866,914.0
26966,916.0
26966,912.0
27166,910.0
27166,914.0
27267,912.0
27380,914.0
27467,912.0
27467,914.0
27576,906.0
27767,910.0
27868,912.0
27868,908.0
27968,912.0
27968,910.0
28068,912.0
28168,914.0
28168,910.0
28269,912.0
28369,914.0
28369,916.0
28469,920.0
28469,918.0
28569,910.0
28669,906.0
28669,908.0
28870,910.0
28870,906.0
28980,910.0
28980,908.0
29083,912.0
29271,916.0
29372,912.0
29472,914.0
29572,912.0
29572,914.0
29672,910.0
29772,918.0
29873,912.0
29973,910.0
29973,908.0
30078,910.0
30178,912.0
30274,908.0
30375,906.0
30375,904.0
30475,906.0
30575,908.0
30575,912.0
30675,914.0
30675,912.0
30775,914.0
30775,910.0
30876,912.0
30976,916.0
30976,914.0
31076,910.0
31177,906.0
31277,904.0
31277,906.0
31382,902.0
31477,906.0
31578,912.0
31678,914.0
31678,912.0
31778,908.0
31778,910.0
31879,906.0
31979,904.0
32079,902.0
32079,900.0
32179,902.0
32179,898.0
32280,904.0
32380,906.0
32380,912.0
32480,908.0
32480,906.0
32580,908.0
32680,904.0
32786,894.0
32786,884.0
32893,866.0
32893,838.0
32993,802.0
33081,690.0
33081,624.0
33181,548.0
33181,472.0
33281,400.0
33281,334.0
33382,280.0
33382,236.0
33482,220.0
33482,218.0
33583,232.0
33583,264.0
33683,310.0
33683,360.0
33784,510.0
33784,592.0
33883,688.0
33883,776.0
33984,846.0
33984,888.0
34084,902.0
34084,904.0
34194,902.0
34194,896.0
34294,894.0
34386,890.0
34386,882.0
34486,880.0
34586,886.0
34686,888.0
34686,892.0
34786,898.0
34786,906.0
34887,914.0
34987,912.0
34987,908.0
35087,910.0
35188,912.0
35288,914.0
35388,916.0
35494,918.0
35589,916.0
35589,910.0
35789,912.0
35789,916.0
35889,914.0
35889,912.0
35989,910.0
35989,908.0
36090,904.0
36190,906.0
36290,914.0
36290,916.0
36394,912.0
36491,908.0
36491,914.0
36595,912.0
36595,914.0
36696,916.0
36792,914.0
36993,912.0
37093,908.0
37193,910.0
37293,914.0
37293,916.0
37394,914.0
37394,920.0
37494,916.0
37494,918.0
37594,916.0
37594,914.0
37794,912.0
37794,916.0
37895,912.0
37895,914.0
37995,912.0
37995,910.0
38097,914.0
38097,912.0
38197,914.0
38197,912.0
38313,910.0
38313,912.0
38410,916.0
38497,918.0
38597,920.0
38698,918.0
38798,912.0
38798,910.0
38898,914.0
38898,916.0
38998,910.0
39099,912.0
39200,910.0
39200,914.0
39300,910.0
39400,912.0
39500,916.0
39600,914.0
39600,916.0
39710,914.0
39710,912.0
39810,914.0
39810,916.0
39910,920.0
40001,914.0
40001,916.0
40101,912.0
40101,910.0
40201,914.0
40201,912.0
40301,916.0
40301,918.0
40402,916.0
40502,910.0
40502,908.0
40602,904.0
40703,908.0
40803,910.0
40903,912.0
40903,916.0
41003,914.0
41003,912.0
41111,914.0
41211,918.0
41404,920.0
41404,916.0
41505,914.0
41505,912.0
41605,910.0
41605,912.0
41705,910.0
41805,912.0
41805,910.0
41910,912.0
42106,914.0
42106,908.0
42207,910.0
42307,906.0
42307,910.0
42411,906.0
42510,908.0
42510,906.0
42610,908.0
42708,906.0

