Time,Lux
1468944139225,13.0
1468944139279,19.0
1468944139391,26.0
1468944142153,33.0
1468944142262,39.0
1468944142316,33.0
1468944142429,39.0
1468944315588,46.0
1468944315638,39.0
1468944315857,46.0
1468944315967,39.0
1468944316022,46.0
1468944316622,39.0
1468944316674,46.0
1468944316786,39.0
1468944316840,46.0
1468944317113,39.0
1468944317222,46.0
1468944334499,53.0
1468944334606,46.0
1468944334827,53.0
1468944334879,46.0
1468944336563,53.0
1468944348798,59.0
1468944348854,53.0
1468944348910,59.0
1468944349456,53.0
1468944349506,59.0
1468944349780,53.0
1468944349835,59.0
1468944349892,53.0
1468944349947,59.0
1468944350333,53.0
1468944350381,59.0
1468944350494,53.0
1468944350549,59.0
1468944360729,53.0
1468944370097,59.0
1468944378874,66.0
1468944380929,59.0
1468944380986,66.0
1468944387810,72.0
1468944393881,79.0
1468944399941,72.0
1468944399995,66.0
1468944400105,72.0
1468944406119,79.0
1468944408021,72.0
1468944408122,79.0
1468944411969,86.0
1468944418036,92.0
1468944424044,99.0
1468944430057,92.0
1468944433090,99.0
1468944434824,92.0
1468944435148,99.0
1468944438942,106.0
1468944442459,112.0
1468944442895,106.0
1468944443600,112.0
1468944448203,119.0
1468944451395,112.0
1468944453564,106.0
1468944454106,112.0
1468944457197,119.0
1468944460227,125.0
1468944461691,119.0
1468944461797,125.0
1468944461854,119.0
1468944462019,125.0
1468944463431,132.0
1468944463535,125.0
1468944463590,132.0
1468944463704,125.0
1468944463809,132.0
1468944463865,125.0
1468944463979,132.0
1468944464031,125.0
1468944464850,132.0
1468944465124,125.0
1468944465174,132.0
1468944465445,125.0
1468944465500,132.0
1468944465614,125.0
1468944465720,132.0
1468944465775,125.0
1468944466159,132.0
1468944469247,125.0
1468944472335,132.0
1468944472388,125.0
1468944472665,132.0
1468944472714,125.0
1468944472824,132.0
1468944475103,125.0
1468944475230,132.0
1468944476239,139.0
1468944477596,132.0
1468944478251,139.0
1468944481286,145.0
1468944484373,152.0
1468944487402,145.0
1468944490437,152.0
1468944490980,145.0
1468944491031,152.0
1468944491145,145.0
1468944491629,152.0
1468944491685,145.0
1468944492287,152.0
1468944492338,145.0
1468944492451,152.0
1468944492558,145.0
1468944492612,152.0
1468944492668,145.0
1468944492946,152.0
1468944492997,145.0
1468944493106,152.0
1468944493597,159.0
1468944496200,152.0
1468944496250,159.0
1468944497550,165.0
1468944498800,159.0
1468944499343,165.0
1468944502215,172.0
1468944505356,165.0
1468944506278,172.0
1468944506337,165.0
1468944508447,172.0
1468944511426,178.0
1468944514460,185.0
1468944514950,178.0
1468944515055,185.0
1468944515111,178.0
1468944515224,185.0
1468944517880,178.0
1468944520210,172.0
1468944520427,178.0
1468944520590,185.0
1468944522919,178.0
1468944523026,185.0
1468944523084,178.0
1468944523193,185.0
1468944523575,192.0
1468944525578,185.0
1468944525793,192.0
1468944526556,198.0
1468944528288,192.0
1468944528347,198.0
1468944529539,205.0
1468944530786,198.0
1468944530837,205.0
1468944530949,198.0
1468944531002,205.0
1468944532580,198.0
1468944535559,205.0
1468944536044,198.0
1468944536098,205.0
1468944536210,198.0
1468944536264,205.0
1468944537730,212.0
1468944537837,205.0
1468944537892,212.0
1468944538005,205.0
1468944538058,212.0
1468944538333,205.0
1468944538657,212.0
1468944540334,218.0
1468944540443,212.0
1468944540499,218.0
1468944540881,212.0
1468944541585,218.0
1468944542021,225.0
1468944543542,218.0
1468944544570,212.0
1468944545927,218.0
1468944546306,212.0
1468944547558,218.0
1468944547930,225.0
1468944547987,218.0
1468944548098,225.0
1468944548151,218.0
1468944548261,225.0
1468944548371,218.0
1468944548426,225.0
1468944548540,218.0
1468944548648,225.0
1468944549031,218.0
1468944549575,225.0
1468944549627,218.0
1468944549738,225.0
1468944549849,218.0
1468944549905,225.0
1468944550012,218.0
1468944550120,225.0
1468944550178,218.0
1468944550288,225.0
1468944550396,218.0
1468944550451,225.0
1468944550889,231.0
1468944551486,225.0
1468944551705,231.0
1468944554414,238.0
1468944557013,231.0
1468944558314,238.0
1468944558369,231.0
1468944559355,225.0
1468944559565,231.0
1468944559730,238.0
1468944559895,245.0
1468944559947,238.0
1468944560061,245.0
1468944560278,238.0
1468944560384,245.0
1468944560440,238.0
1468944560553,245.0
1468944561800,238.0
1468944562559,245.0
1468944562777,251.0
1468944564294,245.0
1468944565434,251.0
1468944566194,258.0
1468944566247,251.0
1468944566359,258.0
1468944566465,251.0
1468944566686,258.0
1468944566739,251.0
1468944566851,258.0
1468944566959,251.0
1468944567832,258.0
1468944567938,251.0
1468944567996,258.0
1468944568867,251.0
1468944569463,245.0
1468944570493,251.0
1468944571847,258.0
1468944572177,251.0
1468944573043,258.0
