Time,Lux
1468943543959,0.0
1468943544140,0.0
1468943544319,0.0
1468943544498,0.0
1468943544678,0.0
1468943544860,0.0
1468943545039,0.0
1468943545218,0.0
1468943545396,0.0
1468943545577,0.0
1468943545755,0.0
1468943545935,0.0
1468943546116,0.0
1468943546292,0.0
1468943546476,0.0
1468943546654,0.0
1468943546832,0.0
1468943547013,0.0
1468943547191,0.0
1468943547374,0.0
1468943547550,0.0
1468943547733,0.0
1468943547911,0.0
1468943548092,0.0
1468943548270,0.0
1468943548449,0.0
1468943548628,0.0
1468943548811,0.0
1468943548989,0.0
1468943549167,0.0
1468943549346,0.0
1468943549526,0.0
1468943549704,0.0
1468943549887,0.0
1468943550066,0.0
1468943550246,0.0
1468943550424,0.0
1468943550603,0.0
1468943550783,0.0
1468943550963,0.0
1468943551143,0.0
1468943551322,0.0
1468943551503,0.0
1468943551682,0.0
1468943551861,0.0
1468943552040,0.0
1468943552221,0.0
1468943552400,0.0
1468943552580,0.0
1468943552761,0.0
1468943552938,0.0
1468943553117,0.0
1468943553298,0.0
1468943553479,0.0
1468943553657,0.0
1468943553837,0.0
1468943554016,0.0
1468943554194,0.0
1468943554376,0.0
1468943554555,0.0
1468943554735,0.0
1468943554914,0.0
1468943555094,0.0
1468943555273,0.0
1468943555454,0.0
1468943555632,0.0
1468943555811,0.0
1468943555991,0.0
1468943556170,0.0
1468943556349,0.0
1468943556530,0.0
1468943556708,0.0
1468943556889,0.0
1468943557066,0.0
1468943557247,0.0
1468943557431,0.0
1468943557606,0.0
1468943557789,0.0
1468943557965,0.0
1468943558147,0.0
1468943558326,0.0
1468943558507,0.0
1468943558684,0.0
1468943558863,0.0
1468943559045,0.0
1468943559225,0.0
1468943559404,0.0
1468943559584,0.0
1468943559762,0.0
1468943559941,0.0
1468943560121,0.0
1468943560301,0.0
1468943560481,0.0
1468943560659,0.0
1468943560841,0.0
1468943561020,0.0
1468943561200,0.0
1468943561377,0.0
1468943561558,0.0
1468943561737,0.0
1468943561917,0.0
1468943562098,0.0
1468943562274,0.0
1468943562457,0.0
1468943562638,0.0
1468943562814,0.0
1468943562996,0.0
1468943563173,0.0
1468943563353,0.0
1468943563533,0.0
1468943563714,0.0
1468943563894,0.0
1468943564071,0.0
1468943564251,0.0
1468943564429,0.0
1468943564609,0.0
1468943564790,0.0
1468943564969,0.0
1468943565149,0.0
1468943565328,0.0
1468943565508,0.0
1468943565687,0.0
1468943565868,0.0
1468943566047,0.0
1468943566225,0.0
1468943566406,0.0
1468943566584,0.0
1468943566762,0.0
1468943566943,0.0
1468943567123,0.0
1468943567305,0.0
1468943567482,0.0
1468943567660,0.0
1468943567846,0.0
1468943568021,0.0
1468943568202,0.0
1468943568380,0.0
1468943568563,0.0
1468943568742,0.0
1468943568919,0.0
1468943569099,0.0
1468943569279,0.0
1468943569457,0.0
1468943569638,0.0
1468943569817,0.0
1468943569998,0.0
1468943570178,0.0
1468943570357,0.0
1468943570538,0.0
1468943570716,0.0
1468943570896,0.0
1468943571074,0.0
1468943571255,0.0
1468943571433,0.0
1468943571614,0.0
1468943571794,0.0
1468943571972,0.0
1468943572152,0.0
1468943572331,0.0
1468943572511,0.0
1468943572691,0.0
1468943572871,0.0
1468943573051,0.0
1468943573229,0.0
1468943573409,0.0
1468943573588,0.0
1468943573768,0.0
1468943573947,0.0
1468943574127,0.0
1468943574306,0.0
1468943574488,0.0
1468943574667,0.0
1468943574845,0.0
1468943575026,0.0
1468943575206,0.0
1468943575384,0.0
1468943575563,0.0
1468943575742,0.0
1468943575921,0.0
1468943576101,0.0
1468943576281,0.0
1468943576461,0.0
1468943576640,0.0
1468943576823,0.0
1468943577000,0.0
1468943577179,0.0
1468943577361,0.0
1468943577540,0.0
1468943577718,0.0
1468943577898,0.0
1468943578077,0.0
1468943578256,0.0
1468943578435,0.0
1468943578615,0.0
1468943578795,0.0
1468943578975,0.0
1468943579155,0.0
1468943579335,0.0
1468943579517,0.0
1468943579694,0.0
1468943579872,0.0
1468943580051,0.0
1468943580231,0.0
1468943580411,0.0
1468943580591,0.0
1468943580772,0.0
1468943580952,0.0
1468943581136,0.0
1468943581311,0.0
1468943581490,0.0
1468943581670,0.0
1468943581849,0.0
1468943582028,0.0
1468943582208,0.0
1468943582385,0.0
1468943582566,0.0
1468943582746,0.0
1468943582925,0.0
1468943583105,0.0
1468943583284,0.0
1468943583465,0.0
1468943583643,0.0
1468943583823,0.0
1468943584002,0.0
1468943584182,0.0
1468943584362,0.0
1468943584541,0.0
1468943584722,0.0
1468943584903,0.0
1468943585080,0.0
1468943585260,0.0
1468943585445,0.0
1468943585619,0.0
1468943585799,0.0
1468943585979,0.0
1468943586158,0.0
1468943586338,0.0
1468943586516,0.0
1468943586696,0.0
1468943586875,0.0
1468943587055,0.0
1468943587235,0.0
1468943587414,0.0
1468943587595,0.0
1468943587777,0.0
1468943587954,0.0
1468943588132,0.0
1468943588311,0.0
1468943588494,0.0
1468943588672,0.0
1468943588851,0.0
1468943589030,0.0
1468943589210,0.0
1468943589391,0.0
1468943589569,0.0
1468943589749,0.0
1468943589928,0.0
1468943590108,0.0
1468943590288,0.0
1468943590467,0.0
1468943590650,0.0
1468943590826,0.0
1468943591006,0.0
1468943591186,0.0
1468943591365,0.0
1468943591545,0.0
1468943591724,0.0
1468943591904,0.0
1468943592084,0.0
1468943592263,0.0
1468943592444,0.0
1468943592622,0.0
1468943592811,0.0
1468943592983,0.0
1468943593162,0.0
1468943593341,0.0
1468943593519,0.0
1468943593700,0.0
1468943593879,0.0
1468943594061,0.0
1468943594237,0.0
1468943594419,0.0
1468943594598,0.0
1468943594776,0.0
1468943594957,0.0
1468943595137,0.0
1468943595318,0.0
1468943595497,0.0
1468943595677,0.0
1468943595854,0.0
1468943596033,0.0
1468943596213,0.0
1468943596394,0.0
1468943596573,0.0
1468943596753,0.0
1468943596934,0.0
1468943597112,0.0
1468943597294,0.0
1468943597471,0.0
1468943597649,0.0
1468943597830,0.0
1468943598009,0.0
1468943598190,0.0
1468943598368,0.0
1468943598547,0.0
1468943598730,0.0
1468943598908,0.0
1468943599088,0.0
1468943599266,0.0
1468943599447,0.0
1468943599625,0.0
1468943599805,0.0
1468943599985,0.0
1468943600163,0.0
1468943600343,0.0
1468943600525,0.0
1468943600702,0.0
1468943600882,0.0
1468943601062,0.0
1468943601242,0.0
1468943601420,0.0
1468943601604,0.0
1468943601780,0.0
1468943601961,0.0
