time,step,Galaxy-S5-atonomura,Galaxy-S6edge-dyamashita,nexus7-2012-hmurakami,nexus7-2013-haida,Xperia-Z3-smorimura,Xperia-Z5-tyamamoto
165,51,62.0,36.0,82.0,26.02105712890625,25.0,39.0
168,52,64.0,36.0,78.0,25.936843872070313,25.0,39.0
171,53,62.0,36.0,78.0,25.936843872070313,25.0,39.0
174,54,62.0,37.0,76.0,25.852630615234375,25.0,39.0
177,55,62.0,36.0,84.0,25.936843872070313,25.0,39.0
180,56,62.0,36.0,76.0,25.852630615234375,25.0,39.0
183,57,62.0,36.0,84.0,26.02105712890625,25.0,39.0
186,58,64.0,36.0,82.0,25.768417358398438,25.0,39.0
189,59,62.0,36.0,78.0,26.273681640625,25.0,39.0
192,60,64.0,37.0,84.0,26.189468383789063,25.0,39.0
195,61,64.0,37.0,84.0,26.02105712890625,25.0,39.0
198,62,64.0,37.0,80.0,26.357894897460938,25.0,39.0
201,63,64.0,37.0,84.0,26.442108154296875,25.0,39.0
204,64,64.0,38.0,82.0,26.526321411132813,25.0,46.0
207,65,66.0,38.0,86.0,27.11578369140625,25.0,46.0
210,66,66.0,38.0,82.0,27.199996948242188,25.0,46.0
213,67,66.0,38.0,86.0,27.536849975585938,25.0,46.0
216,68,66.0,39.0,88.0,27.70526123046875,27.0,46.0
219,69,70.0,39.0,84.0,28.210525512695313,27.0,46.0
222,70,70.0,39.0,88.0,28.54736328125,27.0,46.0
225,71,70.0,41.0,92.0,28.800003051757813,27.0,46.0
228,72,71.0,40.0,92.0,29.305267333984375,30.0,46.0
231,73,72.0,42.0,96.0,29.726318359375,30.0,53.0
234,74,72.0,41.0,94.0,30.3157958984375,30.0,53.0
237,75,74.0,43.0,94.0,30.989471435546875,32.0,53.0
240,76,74.0,43.0,100.0,31.242111206054688,32.0,53.0
243,77,75.0,44.0,96.0,32.25263977050781,32.0,53.0
246,78,75.0,44.0,108.0,32.84210205078125,32.0,46.0
249,79,77.0,46.0,108.0,33.263153076171875,35.0,46.0
252,80,78.0,47.0,108.0,34.18946838378906,31.0,46.0
255,81,78.0,48.0,110.0,35.031585693359375,33.0,46.0
258,82,78.0,49.0,110.0,35.78947448730469,33.0,53.0
261,83,79.0,51.0,114.0,36.96842956542969,36.0,53.0
264,84,80.0,52.0,112.0,37.38948059082031,36.0,53.0
267,85,81.0,54.0,120.0,38.48420715332031,38.0,53.0
270,86,81.0,54.0,122.0,39.4105224609375,38.0,59.0
273,87,82.0,56.0,130.0,40.33683776855469,41.0,59.0
276,88,83.0,58.0,136.0,41.51579284667969,41.0,59.0
279,89,83.0,58.0,134.0,42.77894592285156,39.0,66.0
282,90,84.0,61.0,140.0,43.62104797363281,41.0,66.0
285,91,120.0,63.0,150.0,44.715789794921875,41.0,72.0
288,92,130.0,64.0,148.0,45.81053161621094,44.0,72.0
291,93,140.0,64.0,144.0,46.90525817871094,46.0,72.0
294,94,145.0,67.0,154.0,48.5894775390625,49.0,66.0
297,95,150.0,70.0,160.0,50.02105712890625,49.0,66.0
300,96,153.0,71.0,164.0,51.36842346191406,47.0,72.0
303,97,155.0,74.0,180.0,52.715789794921875,50.0,72.0
306,98,158.0,74.0,172.0,54.40000915527344,52.0,79.0
309,99,159.0,77.0,180.0,55.578948974609375,55.0,79.0
312,100,161.0,79.0,190.0,57.43157958984375,55.0,86.0
315,101,162.0,79.0,192.0,58.18946838378906,57.0,86.0
319,102,164.0,84.0,198.0,60.37895202636719,55.0,79.0
322,103,165.0,86.0,200.0,62.06315612792969,58.0,79.0
325,104,167.0,89.0,206.0,63.326324462890625,60.0,86.0
328,105,168.0,91.0,220.0,65.76841735839844,63.0,86.0
331,106,170.0,94.0,224.0,67.36842346191406,65.0,92.0
334,107,170.0,96.0,232.0,69.726318359375,64.0,92.0
337,108,171.0,99.0,230.0,71.49473571777344,66.0,99.0
340,109,172.0,100.0,242.0,72.16842651367188,69.0,99.0
343,110,173.0,101.0,248.0,74.35789489746094,71.0,106.0
346,111,174.0,106.0,260.0,76.21052551269531,76.0,99.0
349,112,175.0,109.0,266.0,79.74737548828125,74.0,106.0
352,113,176.0,111.0,268.0,81.93684387207031,77.0,106.0
355,114,177.0,116.0,280.0,84.80000305175781,79.0,112.0
358,115,177.0,118.0,278.0,84.96842956542969,82.0,112.0
361,116,178.0,121.0,296.0,88.16842651367188,83.0,119.0
364,117,179.0,123.0,302.0,89.68421936035156,85.0,125.0
367,118,180.0,127.0,304.0,90.52632141113281,88.0,119.0
370,119,180.0,131.0,314.0,94.9052734375,90.0,119.0
373,120,181.0,133.0,320.0,95.91578674316406,95.0,125.0
376,121,240.0,136.0,332.0,99.87368774414063,93.0,132.0
379,122,260.0,139.0,,100.63157653808594,98.0,139.0
382,123,271.0,144.0,356.0,104.16842651367188,103.0,132.0
385,124,278.0,147.0,360.0,108.29473876953125,102.0,139.0
388,125,281.0,151.0,368.0,111.32632446289063,104.0,139.0
391,126,290.0,156.0,378.0,112.42105102539063,109.0,145.0
394,127,291.0,158.0,386.0,113.178955078125,112.0,152.0
397,128,297.0,161.0,398.0,119.49473571777344,112.0,159.0
400,129,300.0,165.0,402.0,121.85263061523438,115.0,152.0
403,130,303.0,171.0,418.0,121.60000610351563,120.0,159.0
406,131,306.0,175.0,424.0,124.71578979492188,118.0,165.0
409,132,309.0,176.0,432.0,128.7578887939453,123.0,165.0
412,133,311.0,179.0,442.0,133.1368408203125,128.0,172.0
415,134,314.0,187.0,452.0,136.5894775390625,129.0,172.0
418,135,316.0,190.0,470.0,139.11578369140625,134.0,178.0
421,136,318.0,195.0,480.0,144.67369079589844,139.0,185.0
424,137,320.0,196.0,484.0,140.46316528320313,137.0,185.0
427,138,321.0,200.0,494.0,147.28421020507813,142.0,192.0
430,139,323.0,206.0,510.0,151.32630920410156,147.0,185.0
433,140,324.0,209.0,514.0,154.18946838378906,143.0,192.0
436,141,326.0,213.0,532.0,158.3157958984375,150.0,198.0
439,142,328.0,219.0,540.0,157.64210510253906,155.0,205.0
442,143,330.0,225.0,556.0,163.53683471679688,156.0,205.0
445,144,331.0,229.0,566.0,169.3473663330078,161.0,212.0
448,145,333.0,234.0,576.0,174.5684051513672,164.0,218.0
451,146,334.0,238.0,590.0,171.53683471679688,167.0,225.0
454,147,335.0,245.0,600.0,177.26315307617188,172.0,231.0
