,nexus7-2013-amiyoshi
116788,195.45262145996094
116927,198.98948669433594
5799,201.0105438232422
5899,196.04209899902344
6100,195.36842346191406
6200,200.5052490234375
6300,200.08421325683594
6501,194.69473266601562
6601,196.9684295654297
6801,200.67369079589844
6904,197.81051635742188
7102,195.36842346191406
7205,198.3157958984375
7306,201.26315307617188
7502,196.3789520263672
7803,200.25262451171875
7910,200.67369079589844
8103,197.9789581298828
8212,200.1684112548828
8319,204.3789520263672
8504,203.11578369140625
8615,198.73684692382812
8905,202.02105712890625
9005,205.64210510253906
9206,200.5052490234375
9306,197.30526733398438
9406,199.74737548828125
9607,201.51577758789062
9708,197.3894805908203
9908,195.1999969482422
10008,201.0105438232422
10209,201.17893981933594
10309,196.46315002441406
10410,197.22105407714844
10610,201.26315307617188
10710,200.42105102539062
10911,196.46315002441406
11012,198.56842041015625
11213,202.35791015625
11313,199.32632446289062
11413,196.2105255126953
11613,200.00001525878906
11713,202.02105712890625
11914,196.3789520263672
12014,194.61053466796875
12214,160.5894775390625
12314,84.63157653808594
12515,72.75790405273438
12615,78.56842041015625
12715,63.326324462890625
12916,91.19999694824219
13016,175.07369995117188
13216,197.30526733398438
13316,201.34738159179688
13525,198.821044921875
13620,196.631591796875
13720,199.2421112060547
13921,202.6105194091797
14021,197.4736785888672
14221,197.55789184570312
14322,201.09474182128906
14522,201.8526153564453
14622,197.3894805908203
14723,198.0631561279297
14923,203.1999969482422
15024,199.74737548828125
15224,197.64212036132812
15324,199.1578826904297
15524,203.53683471679688
15625,198.821044921875
15725,197.05262756347656
15926,200.84210205078125
16026,201.76841735839844
16226,198.3157958984375
16327,197.9789581298828
16527,201.68421936035156
16627,199.32632446289062
16728,195.1999969482422
16928,181.05262756347656
17029,75.45263671875
17229,37.97894287109375
17330,37.305267333984375
17530,43.70526123046875
17630,158.90525817871094
17731,195.36842346191406
17932,194.4420928955078
18032,200.08421325683594
18232,200.84210205078125
18333,197.22105407714844
18533,197.30526733398438
18633,201.26315307617188
18934,196.9684295654297
19035,197.22105407714844
19236,202.02105712890625
19336,199.74737548828125
19536,197.22105407714844
19637,198.90525817871094
19837,202.6105194091797
19938,199.32632446289062
20039,196.9684295654297
20238,199.83157348632812
20339,200.84210205078125
20540,197.30526733398438
20639,172.46316528320312
20840,118.56842041015625
20940,93.1368408203125
